CHANNEL1;CHANNEL2;CHANNEL3;ENTRY AGE;SEX;POLICY TYPE 1;POLICY TYPE 2;POLICY TYPE 3;PAYMENT MODE;POLICY STATUS;BENEFIT;NON LAPSE GUARANTEED;SUBSTANDARD RISK;NUMBER OF ADVANCE PREMIUM;INITIAL BENEFIT;Full Benefit?;Policy Year (Decimal);Policy Year;Premium;Issue Date;;
1;1;14;34;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.083333333;8; 75 ;Jul-12;;
1;1;6;54;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.083333333;8; 216 ;Jul-12;;
1;1;3;22;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7;8; 130 ;Aug-12;;
1;1;5;29;F;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;7;8; 64 ;Aug-12;;
1;1;10;10;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7;8; 231 ;Aug-12;;
1;1;14;49;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7;8; 266 ;Aug-12;;
1;1;11;30;M;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;7;8; 62 ;Aug-12;;
1;1;1;50;M;2;3;A;Annually;Lapse; 50,000 ;NO NLG;0;0;0;N;6.916666667;7; 788 ;Sep-12;;
1;1;15;19;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;6.916666667;7; 65 ;Sep-12;;
1;1;12;24;M;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;6.916666667;7; 137 ;Sep-12;;
1;1;1;26;M;2;3;A;Annually;Expired; 20,000 ;NO NLG;0;0;0;N;6.833333333;7; 61 ;Oct-12;;
1;1;1;25;F;1;4;A;Annually;Lapse; 140,000 ;NO NLG;0;0;0;N;6.75;7; 364 ;Nov-12;;
1;1;1;21;F;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;6.666666667;7; 64 ;Dec-12;;
1;1;1;22;F;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;6.666666667;7; 64 ;Dec-12;;
1;1;1;39;M;2;3;A;Annually;Expired; 20,000 ;NO NLG;0;0;0;N;6.583333333;7; 94 ;Jan-13;;
1;1;16;42;F;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;6.5;7; 140 ;Feb-13;;
1;1;1;38;M;2;3;A;Monthly;Expired; 40,000 ;NO NLG;0;0;0;N;6.416666667;7; 190 ;Mar-13;;
1;1;6;48;M;1;1;A;Annually;Lapse; 200,000 ;NO NLG;0;0;0;N;6.333333333;7; 280 ;Apr-13;;
1;1;5;46;F;1;1;A;Annually;Lapse; 200,000 ;NO NLG;0;0;0;N;6.083333333;7; 400 ;Jul-13;;
1;1;10;47;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;6.083333333;7; 140 ;Jul-13;;
1;1;15;38;F;2;3;A;Semiannually;Lapse; 20,000 ;NO NLG;0;0;0;N;6.083333333;7; 91 ;Jul-13;;
